Taxonomy,,,,,,,,Page Numbers,,,Geography,,,,,Human Interact.,,Habitat Preference,,,,Social Behavior,,,,,,,,Foraging Location,,,,,,,Diet,,,,,,,,,,,,,,,,,,,Strategy,,,,,,,Breeding Season,,Nest Site,,,,,Nest Substrate,,,Nest Construction,,,,Breeding Info,,,,,,,,,Distribution,,,Extinction Risk,,,,,,,,,,,Comments,,,Mitchell et al. Plumage Color,,,,,,,,,,,,,,HabBreadth Columns from  Ducatez et al 2014,,,,,,"Gen. Length (Bird et al., 2020)",,,,,,,,,,,,Ducatez_etal_2020,,,,,,,,,,,,,,,,,,,Burgio et al 2019 Inferred,,,,,,,,,,,,,,,,,,,,,,,,,
family,subfamily,genus,common name,taxon,taxon_2 (matching),synonyms ,authority,HBW #,Juni #,Fors #,Continent,Countries,Isl. Endemic,Introduced,Migratory,Hunting,Pet Trade,Primary,Secondary,Third,Other,Comm. Roost,Mating system,Single,Pairs,Family Groups,Small Groups < 10,Med. Groups (10 - 100),Large groups (100+),Water,Ground,Vegetation,Canopy,Subcanopy,Air,Other,Crop Pest,Guild,Main Diet,Carrion,Arthropods,Insects,Larvae,"""Inverts""",Nectar,Seed,Grain,Nut,Fruit,Berries,Flowers,Leaf Shoots,Roots,Leaf Bud,Other,Digging,Scavenging,Flower_Probe,Gleaning,Excavate bark,Graze,Other,Start,Stop,Tree,Limb,T. termite ,A. termite,Other,Cavity,Hollow,Other,Existing,Excavate,Floor,Other,Min Eggs,Max Eggs,Incubation,Fledge,Egg shape,Egg Length,Egg Width,Colonial,Generation time,Range Size,Elev Min,Elev Max,IUCN Status,IUCN Category,Trend,Risk 1,Risk 2,Contraction,Exploitation,Other (Invasives/disease/etc),Habitat Loss,Mature Popln,Popln Est,Comments1,Comments2,Comments3,Colourfulness,Complexity,GlobalUniqueness,LocalUniqueness1,LocalUniqueness3,LocalUniqueness10,Yellow,Blue,Red,Orange,Green,Black,White,Grey,Habitat breadth (Within-class co-occurrence index; multiplicative beta),Habitat breadth (co-occurrence among species from all four classes; multiplicative beta),Habitat breadth (Within-class co-occurrence index; additive beta),Habitat breadth (co-occurrence among species from all four classes; additive beta),Number-habitat-classes,Total-number-IUCN-habitat-categories,Adult survival,Age at first reproduction,Maximum longevity,GenLength,Range centroid of latitude,Body mass,Mean clutch size,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Forest,BiogeographicRange,ResearchEffort,BodyMass,MigratoryBehavior,HabitatBreadth,Insularity,Urban,TotalInnovations,TotalFoodTypeInnovations,TotalTechnicalInnovations,InnovationYesOrNo,FoodTypeInnovationYesOrNo,TechnicalInnovationYesOrNo,IUCNStatus2019,PopulationTrend2019,HabitatDestruction,Overexploitation,InvasiveSpecies,CriterionB,length (cm),mass (g),tail (mm),carrion,inverts,snails,pollen,nectar,seed,nut,fruit,flower,plant,roots,fungi,water,ground,vegetation,subcanopy,canopy,dig,scavenge,flowerprobe,glean,excavate,graze
Psittacidae,,Alisterus,Moluccan King-parrot,Alisterus amboinensis,Alisterus_amboinensis,,"Linnaeus, 1766",,327,227,Asia,Indonesia ,Y,N,N,,,lowland forest,mid-mountain forest,,,,,1,1,,1,,,,,,,1,,,,,acorns,,,,,,,1,1,,1,1,,,,1,acorns,,,,,,1,,Feb,Apr,1,,,,,1,,,1,,,,,2,19,63,Broadly elliptical,33.4,26.1,,,,,2100,LC,,decreasing,,,,,,,,"60,000",Juniper and Parr put status as near-threatened ,,,0.66756628,0.479645702,572.8802157,0.322496964,1.37297649,6.764332891,0,0.079686311,0.23447049,0.005990836,0.312035065,0.347963827,0.002386934,0.017466536,2.025356577,2.060334833,3451.666667,7622.333333,2,3,0.758941041,2.430433063,19.26479245,5.69277308,-1.91,153,2,200,1500,Not a Migrant,624000,1,Asia,5,153,1,2.025356577,1,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,37.5,153,223.4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Psittacidae,,Alisterus,Papuan King-parrot,Alisterus chloropterus,Alisterus_chloropterus,,"Ramsay, 1879",,328,226,Asia,New Guinea,Y,N,N,,Y,hill forests,rainforest,monsoon forest,secondary forest,,,1,1,,1,,,,,,,1,,,,,"berries, small seeds",,,1,1,,,1,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,2,3,21,35,,,,,,,0,2800,LC,,stable,pet trade,,,1,,,,"70,000",,,,0.510926133,0.474092231,639.4837674,0.169810111,1.091879393,5.463862049,0.000417134,0.037722612,0.314445291,0.009257875,0.060539239,0.570651299,0.001737154,0.005229396,1.469689958,1.503215259,2031,4618,1,2,0.772396164,2.290939216,17.80727642,5.471161119,-5.42,156,NA,0,2300,Not a Migrant,655000,1,several,4,156,1,1.469689958,1,0,0,0,0,0,0,0,Least-Concern,stable,0,0,0,NO,37,164,212,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Psittacidae,,Alisterus,Australian King-parrot,Alisterus scapularis,Alisterus_scapularis,,"Lichtenstein, 1818",,326,223,Australia,Australia,N,N,N,,Y,Tropical Rain Forest,eucalyptus woodland,dense shrubland,savannah woodland,,,,1,,1,1,,,1,,,,,foraging on ground reported in agricultural fields,1,,fruits and berries,,,,1,,,1,,1,1,1,1,,,1,vegetable matter,,,,,,1,,Sep,Feb,1,,,,,1,1,,1,,decaying wood dust,,3,6,20,35,Rounded,32.8,26.8,,,,0,1600,LC,,decreasing,pet trade,habitat loss,1,1,,,,"50,000",,,,0.549615516,0.439841132,576.56981,0.39288953,1.251119137,4.810176079,0,0.005791633,0.250997542,0.010292948,0.193063529,0.527150157,0.004913018,0.007791171,4.30027533,4.707764179,6660.222222,15080.88889,4,9,0.664525276,2.174269861,20.3169895,9.296083946,-29.51,232.26,4.5,0,1600,Altitudil Migrant,1830000,1,Australasia,30,232.26,2,4.30027533,0,1,3,3,0,1,1,0,Least-Concern,decreasing,0,0,0,NO,41,242,205.7,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Psittacidae,,Amazona,Turquoise-fronted Amazon,Amazona aestiva,Amazona_aestiva,,"Linnaeus, 1758",473,540,619,SA,"Brazil, Paraguay, Argentina",N,N,Y,,Y,Cerrado and Chaco scrub,savanna,palm groves,"gallery forest, subtropical woodland",Y,social monogamy,,1,,1,1,1,,,,1,1,,,1,,fruits and seeds,,,,,,,1,,1,1,1,1,,,1,,,,,,,1,,Oct,March,1,,,1,cliff face,1,1,,1,,,,1,5,25,60,Ovate,38.1,29.6,,12.3,4220000,0,1600,LC,,decreasing,pet trade,habitat loss,1,1,,1,,,,,,0.362485171,0.42517509,318.864517,0.174129041,0.710361373,2.813721549,0.006310223,0.005789131,0.003160233,0.001078204,0.752505939,0.199632906,0.016616889,0.014906476,2.564544858,2.792313306,4173.25,9211.25,3,4,0.839823649,4.29873184,32.05574066,14.84711972,-18.85,451,3,0,1600,Altitudil Migrant,5800000,0,South-America,129,451,2,2.564544858,0,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,37,400,119.9,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Psittacidae,,Amazona,Black-billed Amazon,Amazona agilis,Amazona_agilis,,"Linnaeus, 1758",468,528,595,Caribbean,"Jamaica, West Indies",N,N,Food,Y,Y,"Wet, mid-level limestone forest",,,,Y,,,,,1,1,1,,,,1,1,,,,,"fruits, nuts, and seeds",,,,,,,1,,1,1,1,1,,,1,corn,,,,,,1,,March ,May,1,1,,,,,1,,1,1,,,2,4,28,56,,,,,12.3,2600,100,1600,VU,"A3c;B1ab(i,ii,iii,v)",decreasing,> 30% reduction of popln in next 10 yrs / 3 gen,"Extent occurrence < 20,000 km^2",1,,,1,"6,000-15,000","10,000-19,999",,,,0.215904453,0.253967648,337.1271713,0.147200873,0.478413357,1.78730386,0.001724087,0.00144208,0.000472285,0.00040134,0.872792745,0.111021256,0.002009884,0.010136323,1.943781776,2.022310757,3218.666667,7271.333333,2,3,0.797464672,3.511022577,29.61572104,9.671082373,18.24,213,3,100,1400,Not a Migrant,5100,1,Caribbean,10,213,1,1.943781776,1,0,0,0,0,0,0,0,Vulnerable,decreasing,1,1,1,NO,25,178,81.7,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Psittacidae,,Amazona,White-fronted Amazon,Amazona albifrons,Amazona_albifrons,,"Sparrman, 1788",467,526,591,"NA, CA","Mexico, Costa Rice",N,N,Seasonal,,,Scrubby woodland and decidious forest,advanced secondary growth,grassland with scattered large trees,"gallery woodland, lowlands and foothills, thornbush, coastal palm-fig thickets",Y,,,1,,1,1,1,,,1,,,,,,,"fruits, nuts, and seeds",,,,,,,1,1,1,1,1,1,,,1,"cacti, corn",,,,,,1,,June,May,1,,,,,1,,,1,,,,3,5,25,,Rounded,30.3,22.7,,12.3,544000,0,1850,LC,,increasing,,,,,,,,"500,000-4,999,999",,,,0.265471243,0.331722671,329.0891557,0.191517475,0.600632064,2.204133531,0.00705049,0.003853026,0.004649604,0.00163662,0.865024007,0.090341,0.014991385,0.012453868,3.860188833,4.305538892,5718.875,12399.25,3,8,0.764800365,3.228074421,27.87630097,9.044443058,17.94,206,4,0,1800,Not a Migrant,2330000,1,several,20,206,1,3.860188833,1,0,2,2,0,1,1,0,Least-Concern,increasing,0,0,0,NO,26,206,90.3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Psittacidae,,Amazona,Orange-winged Amazon,Amazona amazonica,Amazona_amazonica,,"Linnaeus, 1766",474,545,626,SA,"Colombia, Venezuela, Guianas, Ecuador, Peru, Bolivia, Brazil",N,Y,N,Y,Y,lowland forest,giant bamboo,,,Y,,,1,,,1,1,,,,1,1,,,1,,fruits and seeds,,,,,,,1,,1,1,1,1,,,1,cacao beans,,,,,,1,,Dec,June,1,,,,stumps,,1,,1,1,,,2,5,21,60,Elliptical to ovate,37.4,29.1,,12.3,7420000,0,600,LC,,decreasing,,,,,,,,,,,,0.303626664,0.315663705,365.2254796,0.30386139,0.958888472,3.526422982,0.016736298,0.017329769,0.00041768,0.004436932,0.858126923,0.058773926,0.017526585,0.026651886,5.235226808,5.352194843,5758.555556,11854.44444,3,9,0.801941298,4.087371135,30.13494094,10.23394999,-5.01,370,3.5,0,600,Not a Migrant,12200000,1,several,47,370,1,5.235226808,0,1,1,1,0,1,1,0,Least-Concern,decreasing,0,0,0,NO,31,370,96.8,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Psittacidae,,Amazona,Red-necked Amazon,Amazona arausiaca,Amazona_arausiaca,,"Müller, 1776",475,552,639,Caribbean,Dominica,Y,N,Seasonal,Y,Y,"Moist, lowland forest",,,,Y,,,1,,1,,,,,,1,1,,,,,Fruits and buds,,,,,,,1,,1,1,1,,,,1,,,,,,,1,,Feb,June,1,,,,,1,1,,1,,,,1,2,,,,,,,12.3,100,0,800,VU,D1+2,increasing,< 1000 mature ,Occupies < 20km^2,,,,,"850-1,000","1,200-1,500",,,,0.405951802,0.443661384,352.3280774,0.295115573,0.927434321,3.570793644,0.00215992,0.028254218,0.003175542,0.001193826,0.763679412,0.133129714,0.027261759,0.04114561,1.943781776,2.022310757,3218.666667,7271.333333,2,3,0.837192479,4.481459421,33.15511616,11.2477295,15.46,327.37,2,0,800,Nomadic,190,1,Caribbean,14,327.37,1,1.943781776,1,0,0,0,0,0,0,0,Vulnerable,increasing,1,1,0,NO,40.5,620,138.2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Psittacidae,,Amazona,Yellow-naped Amazon,Amazona auropalliata,Amazona_auropalliata,Amazona ochrocephala auropalliata,"Lesson, 1842",473,542,622,CA,"Mexico, Costa Rica",N,N,N,,Y,deciduous woodland,gallery forest,tall thorn scrub,"varzea forest, secondary riverine growth, mangroves",N,,,1,,1,1,,,,,1,1,,,,,"fruits, seeds, nuts",,,,,,,1,,1,1,1,1,,,1,"pods, corn",,,,,1,1,,Jan,May,1,,,1,palm stub,1,1,,1,1,,,2,3,29,60,Ovate,,,,12.3,90800,0,600,VU,A2cd+3cd+4cd,decreasing,> 30% reduction of popln in next 10 yrs / 3 gen,,1,1,,1,"20,000-49,999",">50,000",,,,0.174931758,0.243830882,374.8234682,0.196055973,0.650767662,2.480586419,0.000426217,0.008914108,0.000960264,0.000352709,0.919114407,0.055401661,0.003994784,0.010835849,2.567753884,2.753986817,3810.25,8250,1,4,0.843672419,4.277674376,34.92176415,15.65694427,13.63,476.94,2.5,0,600,Not a Migrant,580000,1,several,25,476.94,1,2.567753884,0,0,1,1,0,1,1,0,Endangered,decreasing,1,1,1,NO,35,442.5,115,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1
Psittacidae,,Amazona,Red-lored Amazon,Amazona autumnalis,Amazona_autumnalis,,"Linnaeus, 1758",469,533,606,"CA, SA","Mexico, Ecuador, Brazil, Nicaragua, Colombia, Panama, Costa Rica",N,N,N,,Y,humid and deciuous lowland forest,gallery woodland,plantations and groves,dry scrubby forest in Ecuador,Y,social monogamy,,1,,1,1,,,,,1,1,,,,,"fruit, seeds, coffee beans",,,,,,,1,,1,1,1,1,,,1,coffee beans,,,,,,1,,February,May,1,,,,palm stub,1,1,,1,,,,3,4,26,,Rounded,39.2,30.5,,12.3,876000,0,1100,LC,,decreasing,pet trade,,1,1,,1,,,,Breeding months vary by location,,0.298546128,0.353367123,327.7046257,0.152682831,0.51095159,1.965457215,0.002073424,0.006078901,0.002517444,0.000870077,0.838711057,0.103023398,0.017631425,0.029094273,2.530944024,2.708783179,4144.5,9062.25,2,4,0.807068471,4.182813734,31.77366463,10.69356855,12.98,416,3.5,0,1100,Not a Migrant,3130000,1,several,44,416,1,2.530944024,0,0,0,0,0,0,0,0,Least-Concern,decreasing,0,0,0,NO,33,416,111,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1
